J 3 U 2 F 3 E 2 L 13000 Gamma 1 CCam 100 CStop 10
e 0 l 300
e 1 l 200
u 0 v 0 coor 48.8666672 2.3514623 ce e 0 cr 2 b 4 e 1 cr 4 b 5 lib j 0 e 0 b 5 r 5 e 1 b 0 r 5 j 1 e 0 b 10 r 5 e 1 b 5 r 5 j 2 e 0 b 0 r 5 e 1 b 5 r 5
u 1 v 1 coor 43.6044622 1.4442469 ce e 0 cr 2 b 3 e 1 cr 4 b 6 lib j 0 e 0 b 2 r 5 e 1 b 3 r 5 j 1 e 0 b 2 r 5 e 1 b 3 r 5 j 2 e 0 b 2 r 5 e 1 b 3 r 5
f 0 v 2 coor 48.8666672 2.3514623 ce e 0 cr 2 cexc 55 b 2 e 1 cr 4 cexc 30 b 6 dem j 0 e 0 b 2 r 5 e 1 b 1 r 5 j 1 e 0 b 2 r 5 e 1 b 1 r 5 j 2 e 0 b 2 r 5 e 1 b 1 r 5
f 1 v 3 coor 45.7578137 4.8320114 ce e 0 cr 2 cexc 45 b 4 e 1 cr 4 cexc 40 b 5 dem j 0 e 0 b 0 r 5 e 1 b 2 r 4 j 1 e 0 b 0 r 6 e 1 b 2 r 4 j 2 e 0 b 0 r 3 e 1 b 2 r 4
f 2 v 4 coor 45.7578137 4.8320114 ce e 0 cr 2 cexc 35 b 7 e 1 cr 4 cexc 50 b 4 dem j 0 e 0 b 3 r 5 e 1 b 0 r 5 j 1 e 0 b 3 r 5 e 1 b 0 r 5 j 2 e 0 b 3 r 5 e 1 b 0 r 5
a 0 0 d 0
a 0 1 d 10
a 0 2 d 0
a 0 3 d 8
a 0 4 d 8
a 1 0 d 10
a 1 1 d 0
a 1 2 d 8
a 1 3 d 5
a 1 4 d 5
a 2 0 d 0
a 2 1 d 8
a 2 2 d 0
a 2 3 d 8
a 2 4 d 8
a 3 0 d 8
a 3 1 d 5
a 3 2 d 8
a 3 3 d 0
a 3 4 d 0
a 4 0 d 8
a 4 1 d 5
a 4 2 d 8
a 4 3 d 0
a 4 4 d 0
